analysis_step,script,required_file,publicly_downloadable,generated_by,included_in_repository,reason_if_missing
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE152004/GSE152004_series_matrix.txt.gz,Yes,GEO GSE152004 download,No,Required public metadata file is not bundled
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE152004/GSE152004_metadata_with_T2_IFN_cluster.csv,No,Processed score/metadata file from manuscript analysis branch,No,Required intermediate standardized metadata unavailable
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/repair_ECM_fixed32.txt,No,Fixed manuscript gene-set manifest,Yes,Included fixed score file
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/IFN_fixed50.txt,No,Fixed manuscript gene-set manifest,Yes,Included fixed score file
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/T2_fixed3.txt,No,Fixed manuscript gene-set manifest,Yes,Included fixed score file
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/Reactome_ECM_manifest.csv,No,MSigDB/Reactome manifest prepared during analysis,Yes,Included manifest
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/NABA_core_matrisome_manifest.csv,No,MSigDB/NABA manifest prepared during analysis,Yes,Included manifest
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/Hallmark_EMT_manifest.csv,No,MSigDB sensitivity manifest,No,Optional sensitivity manifest unavailable in public archive
Gene-set scoring and external ECM multicohort analysis,R/04_gene_set_scoring.R,gene_sets/KEGG_ECM_receptor_manifest.csv,No,MSigDB sensitivity manifest,No,Optional sensitivity manifest unavailable in public archive
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE152004_VST_gene_expression.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized expression matrix required before sensitivity rerun
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE152004_metadata.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized metadata required before sensitivity rerun
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE118761_VST_gene_expression.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized expression matrix required before sensitivity rerun
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE118761_metadata.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized metadata required before sensitivity rerun
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/audit_reruns/random_gene_set_membership.csv.gz,No,Prior ECM third-axis validation branch,No,Locked random-set membership file unavailable in public archive
Third-axis corrected sensitivity analysis,R/05_sensitivity_analyses.R,outputs/audit_reruns/permutation_statistics_all_10000.csv.gz,No,Prior ECM third-axis validation branch,No,Locked random-set statistics unavailable in public archive
Final table and figure assembly,R/06_tables_and_figures.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE152004_VST_gene_expression.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized expression matrix required before rerun
Final table and figure assembly,R/06_tables_and_figures.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE152004_metadata.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized metadata required before rerun
Final table and figure assembly,R/06_tables_and_figures.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE118761_VST_gene_expression.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized expression matrix required before rerun
Final table and figure assembly,R/06_tables_and_figures.R,outputs/user_rerun/External_ECM_multicohort_analysis/02_gene_sets/standardized_inputs/GSE118761_metadata.csv,No,R/03_RNAseq_preprocessing.R,No,Generated standardized metadata required before rerun
Final table and figure assembly,R/06_tables_and_figures.R,outputs/audit_reruns/conservative_full_replication_audit/02_GSE18965/GSE18965_series_limma_complete.csv,No,Prior conservative full replication branch,No,Manuscript audit intermediate unavailable in public archive
Final table and figure assembly,R/06_tables_and_figures.R,outputs/audit_reruns/ECM_third_axis_corrected_rerun/corrected_external8_FDR.xlsx,No,Prior ECM corrected rerun,No,Corrected external FDR intermediate unavailable in public archive
Final table and figure assembly,R/06_tables_and_figures.R,outputs/audit_reruns/ECM_third_axis_corrected_rerun/corrected_random_bootstrap_statistics.csv.gz,No,Prior ECM corrected rerun,No,Corrected random bootstrap intermediate unavailable in public archive
Final table and figure assembly,R/06_tables_and_figures.R,data/private/hospital_deidentified.xlsx,No,Authorized local protected clinical data,No,Protected hospital input is not publicly shared and must be supplied locally
